"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","103","cy.setCookie() - set a browser cookie","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","269","cy.request() - pass result to the second request","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","2069",".click() - click on a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","396","can add new todo items","example to-do app","2026-02-08","passed","2026-02-08","","","",""
"","23","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","77","Get underlying OS name","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.platform","",""
"","79","Get current version of Cypress being run","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.version","",""
"","103","cy.readFile() - read file contents","Files","2026-02-08","passed","2026-02-08","","","",""
"","76","cy.title() - get the title","Window","2026-02-08","passed","2026-02-08","","","",""
"","187","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","101",".find() - get descendant DOM elements of the selector","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","93",".next() - get next sibling DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","1069","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","515",".as() - alias a route for later use","Aliasing","2026-02-08","passed","2026-02-08","","","",""
"","92","cy.document() - get the document object","Window","2026-02-08","passed","2026-02-08","","","",""
"","77","cy.wrap() - wrap an object","Misc","2026-02-08","passed","2026-02-08","","","",""
"","74","Control what is printed to the Command Log","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.log","",""
"","80",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.dom","",""
"","198","cy.request() with query parameters","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","190","cy.hash() - get the current URL hash","Location","2026-02-08","passed","2026-02-08","","","",""
"","104",".closest() - get closest ancestor DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","166","can check off an item as completed","example to-do app","2026-02-08","passed","2026-02-08","","","",""
"","876",".select() - select an option in a <select> element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","328",".as() - alias a DOM element for later use","Aliasing","2026-02-08","passed","2026-02-08","","","",""
"","195","Cypress.$ - call a jQuery method","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","98","finds element by class name regex","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","766",".uncheck() - uncheck a checkbox element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","362","cy.request() - make an XHR request","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","174","cy.window() - get the global window object","Window","2026-02-08","passed","2026-02-08","","","",""
"","151","cy.writeFile() - write to a file","Files","2026-02-08","passed","2026-02-08","","","",""
"","95",".last() - get last DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","85",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","437","cy.intercept() - route responses to matching requests","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","1576","retries the should callback until assertions pass","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","244","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","193","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","122","cy.contains() - query DOM elements with matching content","Querying","2026-02-08","passed","2026-02-08","","","",""
"","262",".should() - make an assertion about the current subject","Assertions","2026-02-08","passed","2026-02-08","","Implicit Assertions","",""
"","780",".check() - check a checkbox or radio element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","83",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","155","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","172","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","130",".scrollIntoView() - scroll an element into view","Actions","2026-02-08","passed","2026-02-08","","","",""
"","230","cy.get() - query DOM elements","Querying","2026-02-08","passed","2026-02-08","","","",""
"","85",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","86","yields the returned value to the next command","Connectors","2026-02-08","passed","2026-02-08","",".then()","",""
"","180",".rightclick() - right click on a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","2535","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","321","cy.request() - verify response using BDD syntax","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","93","expect - make an assertion about a specified subject","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","967","cy.exec() - execute a system command","Misc","2026-02-08","passed","2026-02-08","","","",""
"","88",".invoke() - invoke a function on the current subject","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","82","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.arch","",""
"","23","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","92",".filter() - get DOM elements that match the selector","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","83","can throw any error","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","92","invokes a callback function with the current subject","Connectors","2026-02-08","passed","2026-02-08","",".then()","",""
"","158","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","83",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","308","cy.visit() - visit a remote url","Navigation","2026-02-08","passed","2026-02-08","","","",""
"","91","cy.root() - query the root DOM element","Querying","2026-02-08","passed","2026-02-08","","","",""
"","92",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","3620",".type() - type into a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","84",".siblings() - get all sibling DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","260",".children() - get child DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","84",".prev() - get previous sibling DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","2763","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-08","passed","2026-02-08","","","",""
"","192",".dblclick() - double click on a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","78","yields the value yielded by the last Cypress command inside","Connectors","2026-02-08","passed","2026-02-08","",".then()","",""
"","194","cy.wait() - wait for a specific route","Waiting","2026-02-08","passed","2026-02-08","","","",""
"","81","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","84","cy.fixture() or require - load a fixture","Files","2026-02-08","passed","2026-02-08","","","",""
"","298","cy.fixture() - load a fixture","Files","2026-02-08","passed","2026-02-08","","","",""
"","837","cy.go() - go back or forward in the browser's history","Navigation","2026-02-08","passed","2026-02-08","","","",""
"","258","cy.focused() - get the DOM element that has focus","Misc","2026-02-08","passed","2026-02-08","","","",""
"","330","cy.getCookie() - get a browser cookie","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","85",".within() - query DOM elements within a specific element","Querying","2026-02-08","passed","2026-02-08","","","",""
"","475",".clear() - clears an input or textarea element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","341","cy.reload() - reload the page","Navigation","2026-02-08","passed","2026-02-08","","","",""
"","164","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","4397","cy.wait() - wait for a specific amount of time","Waiting","2026-02-08","passed","2026-02-08","","","",""
"","120",".trigger() - trigger an event on a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","427","displays two todo items by default","example to-do app","2026-02-08","passed","2026-02-08","","","",""
"","84","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-08","passed","2026-02-08","","Cypress.Screenshot","",""
"","91",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","113","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","84","yields the original subject without return","Connectors","2026-02-08","passed","2026-02-08","",".then()","",""
"","165","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","595","best practices - selecting elements","Querying","2026-02-08","passed","2026-02-08","","","",""
"","228",".add() - create a custom command","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.Commands","",""
"","81",".spread() - spread an array as individual args to callback function","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","137",".focus() - focus on a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","80","Get current spec information","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.spec","",""
"","256","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","82",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","188","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","250","can delete all completed tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","79","assert - assert shape of an object","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","92",".eq() - get a DOM element at a specific index","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","104","Get and set configuration options","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.config()","",""
"","88","matches unknown text between two elements","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","197","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","88","Get environment variables","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.env()","",""
"","266","Cypress._ - call a lodash method","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","79","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","132","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","109",".and() - chain multiple assertions together","Assertions","2026-02-08","passed","2026-02-08","","Implicit Assertions","",""
"","364",".submit() - submit a form","Actions","2026-02-08","passed","2026-02-08","","","",""
"","451","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","93",".its() - get properties on the current subject","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","201",".each() - iterate over an array of elements","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","862","cy.screenshot() - take a screenshot","Misc","2026-02-08","passed","2026-02-08","","Cypress.Screenshot","",""
"","74","cy.url() - get the current URL","Location","2026-02-08","passed","2026-02-08","","","",""
"","383","cy.request() - save response in the shared test context","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","2147","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-08","passed","2026-02-08","","","",""
"","366",".blur() - blur off a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","90",".first() - get first DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","113",".debug() - enable or disable debugging","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.Cookies","",""
"","247","can filter for completed tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","92","pass your own callback function to should()","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","261","can filter for uncompleted tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","100","cy.location() - get window.location","Location","2026-02-08","passed","2026-02-08","","","",""
